"","fbname","betweenness"
"155","向香港警察致敬",372060.20595266
"156","Angryangry",370756.079047558
"157","盤菜瑩子",369435.827848764
"158","香港革命頻道 Hongkongese revolution channel",368596.995127743
"159","On8 Channel - 王岸然頻道",367911.415038591
"160","Mark mak",364166.707435124
"161","香港動物報",364033.502555863
"162","City Magazine",362224.308326577
"163","Collins Yeung ART",362194.254225153
"164","Cemetery News 墳場新聞",360084.576837545
"165","Hong Kong Is Not China",358453.571843123
"166","HKU GE - General Education Unit, The University of Hong Kong",357400.85094246
"167","新新青年互助委員會",356214.488957199
"168","Alvin Yeung 楊岳橋",355766.061076777
"169","彭秀慧 Kearen Pang",355453.085187981
"170","Erwin Huang 黃岳永",355348.7085139
"171","司徒夾帶",352706.638389301
"172","文地貓 Mandycat",352655.755152846
"173","港獨不代表我",350410.155755051
"174","Subyub Lee 李拾壹",349354.588596742
"175","拓展公共空間 Hong Kong Public Space Initiative",348586.113987848
"176","保衛香港自由聯盟",345446.158712572
"177","雲海 陳雲海",345404.352062566
"178","KKBOX",343646.093702231
"179","RTHK 香港電台",342326.267884216
"180","gregory wong 王宗堯",341424.827553444
"181","WWF Hong Kong",340374.593382173
"182","馬鞍山人，馬鞍山事",337568.481365605
"183","9oalup",337188.663038737
"184","InitialP 頭文字P",334288.381402933
"185","中央聖學子",332427.113519282
"186","港語學",327504.457122679
"187","肉球不滿",322577.592633604
"188","Time Out Hong Kong",321635.200814574
"189","Sundream Motion Pictures 驕陽電影",319614.579479289
"190","綠腳丫",316477.090897325
"191","沙田區 Sha Tin District",316135.999924116
"192","JieJie & UncleCat",308624.300609132
"193","東方新地",308506.186413274
"194","香港海洋公園 Ocean Park Hong Kong",308188.360721415
"195","炮打司令部",305319.638631686
"196","JupYeah 執嘢",305256.948191183
"197","Pang Chi Ming",301272.62040594
"198","大球場道 Road to Stadium",299823.462296275
"199","為食起革命 Food Revolution Asia",298848.111498902
"200","健康空氣行動 | Clean Air Network (CAN)",297012.965474865
"201","賣字",293659.969600799
"202","more",291621.697779936
"203","BB 頭看世界",291199.057077025
"204","漫動作",288755.607298139
"205","萬人齊撐！！！快發牌比香港電視！！！",287181.105229939
"206","將軍澳主場",287138.004382494
"207","東尼電機",286065.741905533
"208","ShareMode 分享模式",285179.859341086
"209","盧凱彤 Ellen Loo",283455.373138518
"210","蒲窩青少年中心",282800.207509379
"211","大專同志行動 Action Q",282647.656300553
"212","林二汶 Eman Lam",282365.600496718
"213","太陽娛樂文化 Sun Entertainment Culture Ltd",281633.217130615
"214","添美新村，繼續撐傘！",281527.875000383
"215","卓韻芝",278876.259981362
"216","民主黨 The Democratic Party",276920.146470439
"217","Hysan Place及利舞臺at Lee Gardens",271017.645110077
"218","鄺俊宇 Roy Kwong",269579.818163406
"219","土地正義聯盟",268529.247153993
"220","Wintoday",268339.283984078
"221","輔仁媒體",266389.711951622
"222","不如畫哩D",266212.133696533
"223","Universal Music Hong Kong",264729.025414505
"224","North of the Rings 北區動源",263872.520044766
"225","香港民主連線",263547.697265835
"226","Cliffy",262880.594533724
"227","Kongish Daily《港語日報》",262755.401683305
"228","Citywalk 荃新天地",262681.247156303
"229","寰雨膠事錄 Gaus.ee 國際新聞放送會社",262476.736791138
"230","梁文禮",261207.819012487
"231","《海琪的天空》 陳海琪",260082.073557085
"232","Intercontinental Films Distributors (HK) Ltd.",259999.225170454
"233","Littleoslo",258643.069268817
"234","新青年理髮廳",253073.557194625
"235","Gregory 河國榮",252590.597783741
"236","食德好 Food Grace",252245.456487738
"237","覺醒配音組 Awakening Dubbing",251215.539564176
"238","Oxfam Hong Kong 樂施會",251082.519279946
"239","926 平民在政總現場",249704.54759587
"240","2015 佔領區議會",249396.318235441
"241","本土研究社 Liber Research Community",248468.362426058
"242","序言書室 Hong Kong Reader Bookstore",248350.837351302
"243","文藝復興基金會 Renaissance Foundation",248190.762008105
"244","香港培青社",245832.321435373
"245","古洞北發展關注組",245129.687164838
"246","All About Macau",245006.219622275
"247","共融教室 Link Education",243533.459653927
"248","Flyday.hk 低成本旅遊情報網",242609.910365808
"249","新聞噏乜9",242574.554202057
"250","宇宙狂熱",242421.048137159
"251","傑出關公系列",240751.055229023
"252","長春社",240671.361302458
"253","Leo 詹志文",240475.433001474
"254","香港故事館 HK House of Stories",239854.779294386
"255","方健儀 Akina Fong",239460.673480917
"256","網絡的事",239210.165079784
"257","TOPick 新聞",238996.356649803
"258","Jacky Lim 林鴻達",238768.80380276
"259","Running News 跑場新聞",237943.232731199
"260","Hong Kong Movie 香港電影",237692.572071583
"261","Gogovan",237170.697459276
"262","香港公路奇觀",236308.342092935
"263","誠品香港 eslite@HK",235937.910058843
"264","Cityu Apps Lab",235108.570486627
"265","黃偉文 Wyman Wong",234314.627972321
"266","頭條 POP News",234291.488057518
"267","K11",233562.332958317
"268","Smart Parents 親子王",232730.16913279
"269","路邊攤 Lobintan",232147.868872354
"270","大人之玩物",232045.288690854
"271","Goooood Secrets 神秘電影院",231760.048754456
"272","CG LIVE",231752.452285184
"273","李慧玲",231620.816339598
"274","TVB",229420.208854261
"275","壹週刊",229311.549824497
"276","Supper Moment",229170.587776141
"277","主場新聞博客群",228964.40742525
"278","樂高創作 Legostudio",228892.162931227
"279","正政唯識",228126.423950741
"280","Kai Chi Leung 梁啟智",228073.414741046
"281","DBC Select",227196.890822498
"282","MCKLN Secrets",227033.499135375
"283","高登討論區 HKGolden",226582.846201182
"284","安德烈 Andrew （蒸魚安Steamed Fish）",225483.864267505
"285","香港電車迷會  Hong Kong Trams Enthusiast",224982.775704969
"286","Trailwatch徑‧香港",224246.118990159
"287","中大學生會 CUSU",224187.540541015
"288","香港西米電視 HK Smile TV",223195.861875439
"289","香港規劃情報",222873.961960636
"290","阿塗",222781.259238031
"291","董嘉儀 Lulu Tung",222573.353727737
"292","What Would Jesus Like",220197.950649893
"293","動物蘋台 Apple Petform",220036.06585198
"294","本土時代 Era of Localism",218569.627019732
"295","iMoney 智富雜誌",217929.053818094
"296","香港今昔",217862.064080014
"297","Youth Square 青年廣場",217644.854162177
"298","香港花生 - 新聞",217557.244019401
"299","「風人丸」特別行動組成員香港專頁",215707.647664995
"300","體路 Sportsroad",215572.08104623
"301","2014 香港人醒覺",214741.280187749
"302","盡在元朗",214285.498085611
"303","美食狗仔隊 Spydoggy",214116.010302296
"304","全民勇武 緊握護盾",213763.845055436
"305","Sportsoho",213587.147689635
"306","Michael Lai 黎曉陽",213545.420146024
"307","Breakazine! 突破書誌",213509.212669146
"308","雷霆881  在晴朗的一天出發",213378.205683676
"309","黎明 Leon Lai",212604.289993355
"310","Pang Ho-Cheung 彭浩翔",212183.263223207
"311","同志公民 Out & Vote",212106.380489002
"312","Society for Abandoned Animals",211435.335408435
"313","Uwants",209453.293938631
"314","。閒閒市集。 Cosy Market。",209107.482768971
"315","周慧敏 Vivian Chow",208755.021753069
"316","av magazine",208559.949926652
"317","歪畸",208448.456464011
"318","PlayStation HK",208331.566992453
"319","Song#10",206411.79220765
"320","港腐女學 Funuiology",204783.618674838
"321","動物解放",202522.52276935
"322","Expedia",202002.654212101
"323","MCL Cinemas",200708.184354121
"324","Pluto Mok 莫梓諾",200097.057929421
"325","AutoMomo",198845.437355174
"326","真心爱国爱党联盟 - 真爱联",198441.804878847
"327","黑紙",198322.385738094
"328","屯門好生活 Tuen Mun Good Life",197854.575118333
"329","PMQ 元創方",197569.971970988
"330","麻瓜鄧【做啲嘢工作室】",196788.983119409
"331","青年重奪未來",196210.533100383
"332","Mrs.Lam Cafe",196085.90421087
"333","自己文章自己救 主場文章再現",194983.104490454
"334","音樂蜂 MusicBee",194284.170662276
"335","香港民族獨立黨",194105.347772699
"336","周家怡",193498.692554297
"337","香蕉奶 bananaooyoo",192833.391690159
"338","Kitty Yuen Siu Yee",192001.16117608
"339","Tamarart",190926.254228473
"340","Cyclist Workshop 單車手維修工作室",190890.238576391
"341","周柏豪 Pakho Chau",190647.935353363
"342","村民點諗",190646.651405926
"343","捍衛lester alex佔領巫山HeHe團",190448.87336559
"344","風波裏的自由 Phone",190210.768269662
"345","HKIPF 香港國際攝影節 Hong Kong International Photo Festival",189920.488288583
"346","東周刊 eastweek.com.hk",188334.879733233
"347","貧友堆、一個墟！",187635.315225459
"348","Initium Media 端傳媒",187591.422432331
"349","DDED",187138.740864205
"350","無樂不作同盟會",186940.861434579
"351","傘下爸媽",185725.51683931
"352","BIODERMA",185399.750267483
"353","鄉土學社 SoIL",185364.913848224
"354","媽媽牌同盟 Mamamilkbaby.com",184831.937611565
"355","Huawei Mobile HK",184537.137730314
"356","公民黨 Civic Party",183542.796919068
"357","龍獅報",183096.100332772
"358","全球聲援香港爭取真普選 United for Democracy: Global Solidarity with Hong Kong",182777.172176212
"359","趙恩來 Chiu Yan Loy",182486.68353681
"360","J-Pop Music Festival",182291.867160813
"361","我係五毛我係鬼",181559.604295375
"362","阿檸 - 毒檸王國",181396.416188363
"363","Green-Docs",181134.567137711
"364","譚仔三哥米線",180335.525707089
"365","ITeen Xtra",180305.24753587
"366","高登綜合台",180036.892644046
"367","香港不合作運動九龍西小隊",179943.738244345
"368","Hong Kong Arts Administrators Association",179348.801536387
"369","JESSICA Hong Kong",179016.520836236
"370","hkclubbing.com",178674.944738676
"371","The Good Lab 好單位",178640.495707221
"372","許生變態綜合台",178302.683368796
"373","Farm News 農場新聞",177635.556904545
"374","ACG Secrets.HK",177251.152691044
"375","Hyginova",177154.986510396
"376","ET Net 經濟通",176258.142108858
"377","香港吉野家 Yoshinoya Hong Kong",176256.311174326
"378","Chet Lam 林一峰",176237.74355733
"379","耕作人",176085.041981172
"380","MyBB.com.hk",175740.473283497
"381","字花",174937.814869929
"382","M21媒體空間",174823.658535772
"383","100%憤怒鳥",174459.596402247
"384","普通話台音樂節目",173688.559157503
"385","梁望峯",173519.365066071
"386","明光社",173491.818537695
"387","香港基督徒學生運動 SCMHK",173409.239583923
"388","MOViE MOViE by bc",173401.680352834
"389","Tao Magazine",173156.284723033
"390","HiFi Review & PersonalAudio.hk",172522.703985122
"391","Golden Scene Co. Ltd. - Film",172472.168846521
"392","我撐本地波",172269.126826392
"393","地獄鬼國見聞錄",171825.01979347
"394","思政築覺 ArchiVision",170995.752537378
"395","ifva",170312.153543838
"396","Keyman",169579.330815997
"397","踢爆左膠",169575.9828468
"398","容祖兒 Joey Yung",169539.585217599
"399","項明生 James Hong",169348.6634881
"400","旺角佔領現場資訊",169300.393061431
"401","香港大學學生會文化聯會 Cultural Association, HKUSU",169142.798793582
"402","有種文化",168918.412498659
"403","Home Sweet Home HK Music Store - Ukulele Guitar Cajon",167583.603498685
"404","杜如科 4Lum",166851.666515688
"405","沙田友",166837.251146832
"406","Soliton",166619.200336431
"407","HKU Dry Club",166434.338629651
"408","RunOurCity 全城街馬",166155.299721391
"409","e-zone",166072.402077844
"410","MegaBox",165517.375226214
"411","中大農業發展組",165064.677187197
"412","Tom Lee Music 通利琴行",165036.979244696
"413","香港大學學生會評議會時事委員會 Current Affairs Committee, HKUSU Council",164391.515582163
"414","圖膠聞",164150.958041569
"415","國際特赦組織香港分會 Amnesty International Hong Kong",163901.083010311
"416","Tgt Art and Design Gallery",162715.990312736
"417","港足冰室",162524.038144922
"418","台港民主連線",162199.819335125
"419","20th Century Fox",161948.998595669
"420","Wheres",161577.959652855
"421","Timable",161527.41870054
"422","數碼生活頻道",161396.943026107
"423","香港新浪娛樂",161344.040057208
"424","讓愛與和平佔領中環 Occupy Central with Love and Peace",161012.002211765
"425","aifie.com",160985.98379453
"426","Derek Kwok 郭子健",160558.431203277
"427","Celine 楊鎧凝",160293.023427439
"428","Camp Style 戶外風",159945.091792656
"429","Look7s",159853.043664751
"430","Fernando Chiu-hung Cheung 張超雄",159741.698688659
"431","ＡＰＳ",159656.876162554
"432","左翼21",159297.514433935
"433","鄭錦滿（四眼哥哥）",158364.764794166
"434","環球膠報",158347.119323996
"435","Star Wars",158320.479907325
"436","Rainbow Gala",157971.481143769
"437","Fitz.hk",157862.344986598
"438","Honkiee 亞洲原創文化設計生活平台",157356.784811809
"439","香港漫畫店回憶錄",156519.516743149
"440","VS Music",155602.391906747
"441","譚凱邦 Roy Tam",154110.126797652
"442","靚抽王 Bull Shxt King",153826.740243941
"443","我以後唔去左膠民陣唱k團遊行 No More K-protest",153799.88716716
"444","林匡正",153056.890726504
"445","蘋果ATM",152757.922314156
"446","黃翠如 Priscilla Wong",152741.450236198
"447","商務出版 Commercial Press Publishing",152436.313352202
"448","公關災難",152372.160428849
"449","杏林覺醒 Médecins Inspirés",151640.410781399
"450","我要真普洱行動",151083.544915879
"451","路邊政策組",150742.421878114
"452","My Pet Magazine 寵物閑情",150717.160397361
"453","長發街市關注組",150591.978403508
"454","Cynbunny",150546.769101475
"455","撐傘落區運動",150499.632892816
"456","Kumamon 熊本熊香港幸福部",150302.418842566
"457","Freshmade organics フレッシュメード",150229.788531042
"458","東九龍社區關注組",149737.09688168
"459","堅守港大百年基業 HKU Last Line of Defence",148956.646289339
"460","日本自遊易",148616.053260286
"461","HKTVmall",148357.456646677
"462","Badges Story",147971.344444399
"463","對白Cap圖王",147915.568249311
"464","Toys ""R"" Us Hong Kong",147385.893061297
"465","Hong Kong Style",146908.612424549
"466","洪永城Tony的地球",146511.800224284
"467","心燒食堂",146421.967213118
"468","關懷愛滋 AIDS Concern",146097.051207622
"469","足球周刊 香港版 Football Weekly",145975.808968635
"470","Hong Kong Arts Centre",145902.946108762
"471","旺角人旺角事",144961.048553074
"472","龐一鳴",144557.625944122
"473","香港常餐",143828.134965665
"474","城寨",143597.508063743
"475","東講西讀",143334.64809818
"476","架樑三邊走",143140.472675466
"477","我地撐主場",142699.813179561
"478","叱咤903 在晴朗的一天出發",142596.9137288
"479","香港V煞團",142418.180166391
"480","「保普選 反佔中」簽左名揮手區！",142372.621422416
"481","Marie Claire HK",142031.958575447
"482","謝曬皮 TSE SAI PEI the incapable",141616.209088459
"483","Wacom HongKong",141604.860226582
"484","Plaza Hollywood",141575.278301597
"485","C AllStar",141465.228053065
"486","This is Mr. B",141332.191299625
"487","Hong Kong Columns - Translated",141302.193700339
"488","進步教師同盟 Progressive Teachers' Alliance",140864.030722545
"489","毒撚媒體LonelyMedia",140650.700175604
"490","☠☠  涂東東  專頁 ☠☠",140349.405073572
"491","唔係賣廣告",140262.176646127
"492","老師心聲",140069.042492158
"493","Warner Bros. Pictures",139767.53566236
"494","香港迪士尼樂園 | Hong Kong Disneyland",139610.85418612
"495","Photo Magazine 攝影雜誌",139282.41492925
"496","膠報 Plastic Post",139197.353681298
"497","on.cc 東網／東方日報",139026.869786653
"498","逢時書室",138929.410899943
"499","我係香港人！50萬人強烈反對批綜援比新移民！",138742.457119946
"500","後製達人jc",138722.374595444
"501","林凱凝 Sunshine",138455.576925969
"502","非常班房",138225.234420957
"503","陳柏宇 Jason Chan",138001.533895987
"504","MTR advertising",137143.527941326
"505","Hong Kong Interfaith Sofa",136749.849237023
"506","帶起音樂 Music OnAir",136637.707884425
"507","CosmoGirl! HK",136356.882624301
"508","張繼聰 Louis Cheung",136167.98718356
"509","Fashionally",135124.308085581
"510","爵士鍾情",134328.395102106
"511","多利繪",134251.515691091
"512","范國威 Gary Fan",134010.429640473
"513","Step for Stance Auto Party",133949.574318077
"514","中二萌團 - 不負責動漫亂評",133498.229947247
"515","香港本土力量 Hong Kong Localism Power",133367.796664044
"516","香港學生媒體 Media of Hong Kong Students",133355.963255695
"517","白影",133295.748773295
"518","JLMusic",133045.38826061
"519","大專政改關注組",132959.419435779
"520","張寶華 Sharon",132763.77451591
"521","藝界起動 Artists Action",132740.265529642
"522","Hidden Agenda",132731.098572916
"523","三十過後一個人住",132659.722584079
"524","花生觀察家",132582.293169133
"525","A nice place to",132386.169768628
"526","葉蘊儀 Gloria Yip グロリア・イップ",132353.95771699
"527","StartupBeat",132324.619639821
"528","博勢力",132252.838625321
"529","開心Share",132202.160628879
"530","Neo Derm Beauty",132114.271449363
"531","now 娛樂生活",131978.537627971
"532","Fashion Walk",131111.102360337
"533","鄧小樺 TANG SIU WA",130984.303010259
"534","職工盟(HKCTU)",130942.256612476
"535","SIZZ",130730.600281459
"536","我愛Mama",130612.31984865
"537","將軍澳友 Captain O",130554.713139256
"538","雨僑 YuKiu Ava",130361.030265354
"539","支持香港警察",130038.958634598
"540","民間電台(CITIZENS' RADIO)",129666.782801853
"541","Tango 蛋糕陳",129225.132142752
"542","Alan Leong Kah-Kit",128737.193760908
"543","港人自講 Talk Hong Kong",128128.349253426
"544","Hong Kong Pride Parade 香港同志遊行",127070.811983124
"545","CUP 媒體",127059.994324483
"546","香港天主教資訊通",127022.499974576
"547","本土Y世代",126744.878031936
"548","CABLE+",126353.226361748
"549","HKCSS 香港社會服務聯會",126070.659997072
"550","足球快報 FootballExp",125791.845474822
"551","升旗易得道",125706.869006357
"552","Hong Kong Baptist University Students' Union 香港浸會大學學生會",125525.871866317
"553","The Metroplex",125221.970807532
"554","一田百貨 (YATA) - official Page",125050.153032674
"555","ToySoul 亞洲玩具展",124864.462614881
"556","旺角社區團結－旺角佔領直擊",124802.521879357
"557","思潮起動",124684.485757819
"558","民間人權陣線 Civil Human Rights Front",124210.116183808
"559","David Yeung 楊大偉",124101.219348199
"560","Sammy Leung",123815.934608223
"561","文化及雜誌界撐香港",123680.442464841
"562","Mr & Ms HK People",123596.438352335
"563","Page One (HK)",123585.708142277
"564","Claudia Mo/毛孟靜",123211.510706823
"565","Musician AREA",122970.36594812
"566","要求遣返難民大聯盟",122862.362086832
"567","moto-one.com.hk",122583.481704108
"568","DBC 8910 Good Morning",122503.443560855
"569","香港天氣資訊中心",122006.464631362
"570","艾力 Eric",121729.884334701
"571","版權及二次創作關注聯盟 Copyrights & Derivative Works Alliance",121497.137508058
"572","我支持劉Sir仗義執言",121437.654602796
"573","十一良心消費 Tithe Ethical Consumption",121320.945030219
"574","1圈圈",120981.139704391
"575","偲嫣迎新營",120839.960953688
"576","Gimme5",120651.304141309
"577","鴨脷洲變形記",120595.286042321
"578","《發燒玩家》",120528.991350877
"579","毛言地",120386.516205106
"580","香港傳統節日",120261.13162344
"581","Warner Music Hong Kong (International)",120117.656520588
"582","HKDoujin",120095.932950144
"583","南區人，南區事",119990.608387458
"584","Serrini",119386.360063503
"585","血濃於老味 Blood Lei Lo Mei",119295.224987195
"586","Hong Kong International Airport 香港國際機場",119271.659483321
"587","商務印書館 The Commercial Press",119146.609172719
"588","奧海城 Olympian City",119109.01254958
"589","STAR WARS HONG KONG",118629.750152796
"590","Alicehaha",118417.715972646
"591","Brands United - BU",118205.496105085
"592","陳奐仁 Hanjin Tan",118017.769061044
"593","食光光 EmptyPlate Action HK",117667.889631625
"594","Neway Karaoke Box Hong Kong",117554.806855167
"595","游學修 Neo Yau",117531.403836451
"596","The North Face Hong Kong",117189.530243635
"597","metropop",117139.002168871
"598","nomad nomad",117126.465071922
"599","Music Surveillance",117076.471320643
"600","港嘢 Kong Yeah",117066.439436167
"601","Canada-Hong Kong Link",116962.420728174
"602","我真心撐警察極醜惡專頁",116677.51703164
"603","the pancakes",116580.240001368
"604","Shadow",116430.935856078
"605","樹大招風Trivisa",116263.305321814
"606","逆嘶亭",116225.429620677
"607","守護大嶼聯盟 Save Lantau Alliance",116062.797312508
"608","鄭松泰",115784.250221196
"609","Miss Hunny",115755.560272619
"610","石先生",115747.697091554
"611","山卡啦",115718.571022985
"612","電影文化中心 Film Culture Centre - Hong Kong",115681.10526027
"613","Go! Japan",115623.526944344
"614","Draword - 畫字",115597.387190027
"615","阿炸",114998.255117271
"616","I am a Hongkonger, 我係香港人！",114917.724272537
"617","Baby Magazine 親子雜誌",114816.513377322
"618","香港作家王迪詩",114686.992880785
"619","Disney Movies Hong Kong",114514.536277788
"620","黑口西面 - KuroGuchi NishiMen",114112.273871216
"621","波波池",113919.209190226
"622","Joey Kwok Photography",113910.509371112
"623","孤泣",113897.693834715
"624","信報財經新聞 hkej.com",113870.304523347
"625","活人拳法家",113793.590073704
"626","元朗本土行動組",113487.971645614
"627","Snow Suen 孫慧雪",113318.528781792
"628","廢柴同學會",113184.991211284
"629","【堅．筲箕灣人】梁詠詩老師 Jenny Leung",113146.666917773
"630","GoBuya 夠買網",112956.237796481
"631","JOOX",112777.009506953
"632","teakha 茶。家",112650.607114857
"633","李璧琦 Becky Lee",112544.44055965
"634","香港ウンチク話",112395.71739826
"635","急急Touch",112266.096189389
"636","企業號航行網誌",112215.936041336
"637","香港公平貿易聯盟 Fair Trade Hong Kong Foundation",112206.000499846
"638","Dean Siu 邵子風",111532.763634516
"639","黎汶洛 Oscar Lai Man Lok",111259.610824847
"640","kurskhk.net",110687.449512772
"641","港大法律學生政改關注組 HKU Law Students Political Reform Concern Group",110625.121674346
"642","Vicky Fung 馮穎琪",110610.246831016
"643","羅乃萱Shirley Loo",110359.813313498
"644","Warner Music Hong Kong",110251.809728652
"645","Super fans",110203.342779178
"646","《社區好鄰居》",110078.738943992
"647","Hakgwai",109974.665725285
"648","香港討論區",109660.732370285
"649","李克勤 Hacken Lee",109602.586625947
"650","香港主播",109559.462060871
"651","Jockey Club Design Institute for Social Innovation",109519.16394979
"652","hkitalk.net 香港交通﹒資訊網",109342.614076436
"653","周小某",109326.611211381
"654","OpenSnap",109208.695904577
"655","八鄉朱凱迪",109122.317865918
